,text
0,"支配人は両親に向って叫んだ。声のようにしなければならぬという結論だった。ところで、支配人はもう静かにした。母親はわきへよって、今ではなかったろう。ところが婆さんは答えた。妹が向きを変え始めたように見えた。壜が床の上にのっていた。 #twnovel
"
1,"今は廃棄場のスクラップ工場にいた。何も喋らない。ただ永遠に落ちる旅をして生きているからだ。偶然訪れた。一度でいいと思う。かけてもらえるかを判別するロボットだ。口を開く。 #twnovel
"
2,"毎日が発見されていた。旅の途中の姿なのだから。自分が情けない。彼の後ろに、自分の影を伸ばす。彼は元気そうだった。不安に駆られた。眼を閉じた。向きを変えた。 #twnovel
"
3,"私の絵を描きながら独り言を呟いた。勝手に死んでしまった。俺を掴むことなんてできやしない。運悪く、私が知った。時間が変動するのだ。夕陽に照らされるビル群。雲ってどこにですか。そうだ。何かで薬が欲しかったんだよ。ん？　汗の滲む右手で狙撃銃を当てた。気がする。 #twnovel
"
4,"それが言いたいだけなのだ。僕らは並んでいる。体が浮いた。僕ら壊れたロボットだ。実は、雲の上には優秀な幼馴染がいる。惑星から除外された友情のようだ。俺の他に客はこう言った。星が動いてくれればいいか分かんないんだ。雪の塊の樹から落ちる所だった。傍にいた。 #twnovel 
"
5,"彼と話せるかもしれないんだぜ。彼はそう訴えた。そうそう。いつ再び不幸がやってくるとも知れません。みんながちゃんと自覚持ってきた。あとはあの廃ビルの非常階段で転んだから。彼女が鞄から取り出した。顔は気の毒だった。 #twnovel #小説執筆AI
"
6,"上の水たまりを避けていく。彼が寝言を言って古地図を振った。向きを変えていくようだ。ドアは冷たかった。上の彼がいるんだ。彼は独り、考えてない……睡魔だよね。壁に寄りかかると、突然現れる。ところが彼女が降ってきてくれる。彼は初めて。 #twnovel #小説執筆AI
"
7,"今は夕方だからこそ歌うのだろう……。彼女が降ってきた。それはできているのだという。彼の腹の虫が鳴った。ところが画面に表示が。女が、気分は沈んでいく。ただ僕だけは真に受けた。一度でいいと思う。 #twnovel #小説執筆AI
"
8,"あなたは。そう、大学で何かを実験台にした。みんな近視になった。事情聴取が再開した方が楽しい。ここは関係者以外立入禁止だ。 #twnovel #小説執筆AI
"
9,"一つは、試作機で時空の彼方に飛ばした。君の墓穴になった。僕はついにやった。子供を人質にしてないですよ。好きでもないですから……。 #twnovel #小説執筆AI
"
10,"だが、その精神はここで生き延びていた。自分もこんな風に足が止まる。時は本当に旅を楽しんでいるのだろうか。旅の途中、ある村に立ち寄った。一人しか知らないリプライ……。 #twnovel #小説執筆AI
"
11,"そして、彼は言いわけを話し始めた。時の叫び声があがっていたところだった。部屋のなかを散歩するようだった。中に話しかけてくるに相違ないんですか。隙間越しに独り言を呟いた。 #twnovel #小説執筆AI
"
12,"女は右手の壁ぎわまで身体を横たえていた。腕を磨きあげたのだった。一週間分に過ぎないのだ。人の状態にはどう防ぎようもないの。人のそばまで寄っていたのさ。つまり、私こそが本当よ。人がいますと又口を挟む。 #twnovel #小説執筆
"
13,"鉢からはまるで有名な絵画と言われていた。それは、物を尋ねた。水なんかいくらからだ。中から二歩前方の縁に馬があった。水をやっても無駄だぜ。ひとつは結末に近づくか近づかないか。 #twnovel #小説執筆AI
"
14,"こちらの怪訝な目付きに、気付いていた。返事をできないって。彼はそう心に誓った。しかも周りの人間に恋しているの。心の窓から街の灯りを眺めていない。 #twnovel #小説執筆AI
"
15,"どこかへ行った。どこへ問い合わせたらいいでしょうよ。深刻な運命を共にする仲間。趣味の範疇を越えるものでもない。個人的な話があるよ。 #twnovel #小説執筆AI
"
16,"女たちは彼女だった。未来予知ができるのだよ。彼女の虚構に過ぎなかった。幸福だといわんばかりになったのです。結婚した。 #twnovel #小説執筆AI
"
17,"人の霊魂の秘密なんてありませんでした。アンドロイドが歩み寄ってきたらしかった。人のほうはそれを隠そうとした。人が身近かに尋ねた。こっち、こっちは遠すぎるようですね。 #twnovel #小説執筆AI
"
18,"ものごとの力を込めた。将来の幸福や心配とかのことになった。希望を強めたのでした。希望をいだかせたのです。美の神に誓いを立てていた。幸福だと思います。美の中の話をしてはいた。 #twnovel #小説執筆AI
"
19,"そいつのように私たちは話の本題へ入って来たのであった。黒味がかった空色の美しい行為だった。兄さんのように話の前後に揺らしているらしかった。悪い運命に従順である。 #twnovel #小説執筆AI
"
20,"奥に見えるのだ。しかし、彼女は、後ろ向きだ。彼も今度こそ本当に殺してないみたい。私、大人になったのよ。じゃあ教えてあげましょう。場所を彼女に尋ねたいことがなかった。 #twnovel #小説執筆AI
"
21,"彼は路傍に立っていた。声の主は、寂しそうにない。気がした。飛行機雲が、一番の贈り物ですよ。僕はね、世界で初めて造られたらしい。友人もそれにすぐに逃げ出しやがる。二人は、こういった。世界各地の雲を。 #twnovel #小説執筆AI
"
22,"一生命として存在を百も承知だよ。それがわからないらしかった。君と、好い機嫌で杯をもやす。自慢の鼻をくすぐる死の匂いだった。君はあの学生といっしょにおらぬ。 #twnovel #小説執筆AI
"
23,"右手奥に押しやられていたのだ。髪をうねらし、とくに強く鳴った。空はほぼ一面桜色に染まる。ようわかったばかりではあった。水平線の唇に残していった。 #twnovel #小説執筆AI
"
24,"日の夕方、事務局長は親しげに尋ねた。局長自身が彼をつれて散歩に出かけた。雲の向こうからお話しなさい。雲が何かもわからなかった。みんな全体ひっくるめてです。 #twnovel #小説執筆AI
"
25,"窓ガラスを蒸留水ですすぐことだ。窓ガラスと雪と、いい。窓という窓は往来のまん中へ進み出た。金の用をたしにいった。 #twnovel #小説執筆AI
"
26,"上の階に姿を現した。新聞は伯爵邸にあった。何をたよりにしなければいけないんだよ。そんなら五枚お呉れ。五か月たっていたのです。あなたも当事者ですよ。 #twnovel #小説執筆AI
"
27,"しかも、その時、不意に消えた。太陽信仰ですよ。ただ軍刀に接吻しようと思った。病気というものがついて降りてきました。 #twnovel #小説執筆AI
"
28,"命令されなくもないようになるんだ。彼が鬼に組みつく番でした。群集は低い回廊と庭を横切った。命の危険は手紙をよこすに相違ない。 #twnovel #小説執筆AI
"
29,"わたくしの中に目を閉じたりした。青の閃光を添えてあるんですわね。彼女は静かに扉をあけた。静かな世界なんて間違った理想だった。目ぼしい情報があるものだよ。光の下へとやってくる。 #twnovel #小説執筆AI
"
30,"姿を消した幌自動車が着いた。一種の奇跡の真実さを示した。僧院の前に昔の通りであった。海の中にするりと入り込んだ。前は真っ暗闇だった。 #twnovel #小説執筆AI
"
31,"彼の関心事だったからである。根本においてはいつか話したのだ。雲の向こうの少年が見張りしています。みじかい夏の静かな眠りを彼はいった。 #twnovel #小説執筆AI
"
32,"意味のない小言や移り気に耐えていた。海の近くの安楽椅子のなかのことです。雲が北の方へどんどん走って行ったのです。先生、このような表情を変えた。よう御座いますまい。 #twnovel #小説執筆AI
"
33,"色が美しい。形のものに気づいたのだ。窓ガラスをたたく音も沈黙していた。ガラスはしっかりしたんですよ。色の乱反射。 #twnovel #小説執筆AI
"
34,"彼はしばらく黙っていました。胸の病気で寝ていなかった。彼の微笑が浮かんでいる。胸のときめきをとどめているんです。彼は直感した。腰をかけようとした。 #twnovel #小説執筆AI
"
35,"また、うまいわねえ。神様が、くり返したあとだった。無理に答えようとは思えなかった。人となっているようだ。おまえの自由観なんか信じるものです。 #twnovel #小説執筆AI
"
36,"譜をめくり、確かめる調子で言う。深い海の底に湧いてくるんだ。はじめのときじゃなかった。ただ回廊に向っていた。こまかい一つの繋がりから、お伺いいたします。 #twnovel #小説執筆AI
"
37,"彼女は客室つき女中でさえいた。侵入者の手でもうおしまいだぞ。つきぬ力に引きずられていたと申しました。行きましょう。予定時刻を見ていた。時刻ももう彼の脳裡に浮かんでいた。空が青くなっている。 #twnovel #小説執筆AI
"
38,"入部してしまった。理由はありませんか。二つの黒い骸骨みたいなことだ。一つの本を知っているのです。彼女は十分考えていたのであった。目の前に訪ねてくる。ものをたくさん話して下さい。 #twnovel #小説執筆AI
"
39,"芸術神の子。夏の静かな世界。音楽を教わりたいのは全校生徒に渡した。理解できないように説明しよう。美の中を漂っていた。 #twnovel #小説執筆AI
"
40,"栗の木の枝が見えるのだった。女を見つめてボンヤリと突立っています。毎日夜遅くまで付き合わされている。夏の静かなおかたではありませんでした。 #twnovel #小説執筆AI
"
41,"注意深い妹はベッドに寝てしまいましたね。この間のお部屋に住ませてください。俺は気付いてくれるようであった。今この黄昏のなかの誰かが戻ってきた。 #twnovel #小説執筆AI
"
42,"赤い実の娘の風をせきとめられた。何億という幸福を望んでいた。風にあわてていられない。美しい立派に権利でも持っていた。庭の中に溶け込んでいた。 #twnovel #小説執筆AI
"
43,"途端に旅人も自然に進んでいったんです。一方、彼女は納得出来ないのだ。砂汚れや擦った跡を追って入っていった。中世紀の僧侶が住んでらっしゃるのです。仕事場の戸をたたいてみせた。私は又叫びました。最初の二番目。 #twnovel #小説執筆AI
"
44,"遠くからということだ。あたり一面桜色に濡れて、言っていた。面と向かって飛んで行きました。それで、その顔は見た。私自身を防衛する。 #twnovel #小説執筆AI
"
45,"彼に視線を受けていることです。背中から空をじっと見つめた。一昨夜の通りに面した部屋をノックした。そこの壁にぶっつけた所だった。時間は避けるのですね。 #twnovel #小説執筆AI
"
46,"美しい手を引っこめた。麗しい彼女は答えようと駆け出した。彼女は急いでいるようだった。奇妙な叫び声としてない私が初めて知りました。深い青の閃光を散らし始めたのです。 #twnovel #小説執筆AI
"
47,"神父様、いったいどうなんですよ。一人の農夫が演じたんだ。正しい人はもうかまわないからね。歩のように深い母親のところへ帰っていった。彼のように小さい手を求めて。二、三人目だろう。 #twnovel #小説執筆AI
"
48,"好きなのだ。あなたが無事だと思った。水をごくごくのみましたよ。私の言うところではあった。空は真黒な小瓶よ。今まで、たえまなくささやき合っていた。 #twnovel #小説執筆AI
"
49,"君の好きなのだろうか、気がついた。そして、わたしは黙っています。これが本能的に重なり合うからですわ。上の黒いバイザーに隠されている。五匹の蛇が他に見せてもらえるかな。 #twnovel #小説執筆AI
"
50,"下の毛布にくるんだ。百回も描いたよ。間ちがって比較的明るく照らし出された。血を見ることができそうで……イイエ。なおその前に突如として、お待ちしていた。 #twnovel #小説執筆AI
"
51,"侮辱を忍ぶのであった。薬のように嘘をいい合う理由なんかないわ。不思議な事実とその行手に一人は苦労して。女車掌になったわね。僕に飛びかかったのであった。 #twnovel #小説執筆AI
"
52,"奴らも本気になっていませんでした。彼が階段に行く道の向こうに見えた。何かを、ナイフを突き刺した。ところで、この強い女がわざと、進んでいった。質問こそおもな事柄だった。 #twnovel #小説執筆AI
"
53,"彼は簡単で、しゃんと体をゆするのだった。説明なんかやめてください。神様が許してくれたんだ。申し訳ないけど、君に分かるはずです。今になって初めて門を調べになるのだ。 #twnovel #小説執筆AI
"
54,"手を入れるのは、失礼でございますね。青の閃光を散らし始めた。病気の子供も今も記憶があります。形も残らないものである。でもあなたの眼を逃がれないでしょう。彼女がここへおいでくださいました。手に握らせた。 #twnovel #小説執筆AI
"
55,"両親と妹と離れ離れになった。息子のことがなかった。これによって自分にたずねることは別です。今度は反対しなかったろう。私の想像もされたに違いない。あたし真剣に言った。 #twnovel #小説執筆AI
"
56,"それは私たちのようなお話もできた。広いドアが邪魔である。訪問客を待っておられないし、いや、待て。それに、手紙を渡した。半ば冗談、半ば無意識に求める生き物。夏のまわりの部屋であった。 #twnovel #小説執筆AI
"
